"date","newCases","city"
2022-01-13,6112,"Stockholm"
2022-01-14,5300,"Stockholm"
2022-01-15,5300,"Stockholm"
2022-01-16,5300,"Stockholm"
2022-01-17,5300,"Stockholm"
2022-01-18,6694,"Stockholm"
2022-01-19,7558,"Stockholm"
2022-01-20,8066,"Stockholm"
2022-01-21,8416,"Stockholm"
2022-01-22,8416,"Stockholm"
2022-01-23,8416,"Stockholm"
2022-01-24,8416,"Stockholm"
2022-01-25,8874,"Stockholm"
